,Figurative RT,Figurative Target,Literal RT,Literal Target,Unrelated RT,Unrelated Target,Model Sentence,Predictability
iemand op de huid zitten,569.8461538462,achtervolgen,522.1904761905,uitslag,558.4047619048,doorbraak,zat iemand op de huid,2
het niet breed hebben,567.3414634146,armoede,623.3333333333,wijd,594.1219512195,grapje,heeft het niet breed,2
iemand wakker schudden,568.5365853659,zeggen,608.3181818182,overdag,607.0487804878,bellen,schudde iemand wakker,1
aan een zijden draadje hangen,605.95,bedreigd,579.0238095238,lint,580.1666666667,zaaien,hangt aan een zijden draadje,3
als paddenstoelen uit de grond schieten,549.0930232558,verschijnen,613.0975609756,terrein,563.5714285714,opmerking,schoten als paddenstoelen uit de grond,3
iemand iets in de schoenen schuiven,606.6052631579,verwijt,,voeten,590.641025641,vulling,schoof iemand iets in de schoenen,2
iemand aan de tand voelen,509.9069767442,vraag,,kaak,610.9736842105,soort,voelde iemand aan de tand,2
voor aap staan,556.85,raar,600.5952380952,staart,598.9534883721,wraak,staat voor aap,1
voor iemand door het vuur gaan,542.2682926829,steun,630.0555555556,vonk,583.65,kluis,ging voor iemand door het vuur,2
iets van tafel vegen,586.3170731707,afwijzen,540.0909090909,eetkamer,568.3333333333,noodzaak,veegde iets van tafel,1
aan het roer staan,539.725,baas,553.8372093023,schip,573.4285714286,trouw,staat aan het roer,1
ergens zijn neus voor optrekken,585.2380952381,verwaand,562.3947368421,zakdoek,599.2682926829,bekwaam,trekt ergens haar neus voor op,3
iets tot in de wolken verheffen,537.2142857143,prijzen,555.5526315789,onweer,638.7631578947,staken,verheft iets tot in de wolken,2
tussen twee vuren zitten,588.4146341463,bedreiging,643.1951219512,vlam,581.7073170732,rijkdom,zit tussen twee vuren,3
iets uit de losse pols doen,584.1428571429,makkelijk,544.512195122,hartslag,574.511627907,schaamte,deed iets uit de losse pols,3
geen hart in het lijf hebben,602.3170731707,wreed,528.4761904762,lichaam,530.8974358974,sleutel,heeft geen hart in het lijf,3
de mouwen opstropen,592.9512195122,klus,578.6578947368,trui,588.4736842105,voer,stroopt de mouwen op,3
op zijn centen zitten,577.9285714286,zuinig,526.3571428571,verkoop,563.1395348837,spijker,zit op haar centen,1
het hoofd koel houden,578.8461538462,beheerst,547.2954545455,ijskast,609.9487179487,luier,hield het hoofd koel,3
iemand tegen de schenen schoppen,604.7073170732,kwetsen,520.8108108108,enkels,567.1794871795,druppel,schopte iemand tegen de schenen,3
op het puntje van de tong liggen,524.3409090909,woord,543.275,speeksel,559.9210526316,winkel,ligt op het puntje van de tong,3
iets op poten zetten,542.3414634146,opbouwen,650.8333333333,kruk,,boffen,zette iets op poten,1
iemand de wet voorschrijven,575.488372093,bepalen,561.488372093,overheid,547.380952381,goedheid,schreef iemand de wet voor,3
ergens mee in de maag zitten,513.4047619048,onzeker,,ingewanden,607.425,oefening,zat ergens mee in de maag,2
de koe bij de hoorns vatten,547.4772727273,aanpakken,541.2195121951,duivel,555.3414634146,schaken,vat de koe bij de hoorns,3
iets uit je duim zuigen,591.7209302326,onzin,539.7804878049,vuist,537.375,knoop,zuigt iets uit haar duim,3
met de rug tegen de muur staan,506.880952381,keuze,538.3255813953,verf,564.0697674419,hoed,staat met de rug tegen de muur,3
