Destinations,Origins,Similarity
lichaam_MENSELIJKLICHAAM,geen hart in het lijf hebben_IDIOM,1.323529412
vuist_VUIST,duim_ZSTNW,4
zaaien_ZAAIEN,draadje_TOUWTJE,1.2
de mouwen opstropen_IDIOM,voer_ETEN,1.735294118
voor aap staan_IDIOM,raar_GEK,3.77
grond_BODEM,terrein_GROND,4.294117647
tekening_KIND,hetzelfde_HETZELFDE,2.88
vlam_ZSTNW,tussen twee vuren zitten_IDIOM,1.303030303
bedreiging_BEDREIGING,vlam_ZSTNW,3
hoorns_HOORNS,duivel_DUIVEL,4.352941177
keuze_KEUZE,verf_ZSTNW,1.36
speeksel_SPEEKSEL,woord_WOORD,3.72
speeksel_SPEEKSEL,tong_MOND,4.323529412
voor iemand door het vuur gaan_IDIOM,steun_STEUN_ZSTNW,4.64
achtervolgen_ACHTERNAZITTEN,uitslag_HUID,1.44
ingewanden_INGEWANDEN,onzeker_ONZEKER,1.88
boffen_BOFFEN,iets op poten zetten_IDIOM,1.323529412
iemand aan de tand voelen_IDIOM,kaak_KAAK,1.941176471
bedreigd_ONZEKER_ONVEILIG,lint_LINT,1.6
woord_WOORD,speeksel_SPEEKSEL,3.72
maag_MAAG,ingewanden_INGEWANDEN,4.441176471
woord_WOORD,op het puntje van de tong liggen_IDIOM,4.558823529
hoed_PET,muur_MUUR,1.28
vulling_VULLING,iemand iets in de schoenen schuiven_IDIOM,1.242424242
iemand iets in de schoenen schuiven_IDIOM,verwijt_ZSTNW,4.55
mouwen_MOUWEN,trui_TRUI,4.794117647
voer_ETEN,de mouwen opstropen_IDIOM,1.735294118
vonk_VONK,voor iemand door het vuur gaan_IDIOM,1.264705882
voor aap staan_IDIOM,staart_DIER,1.181818182
wreed_GEWELDDADIG,lichaam_MENSELIJKLICHAAM,1.68
wreed_GEWELDDADIG,geen hart in het lijf hebben_IDIOM,4.294117647
overheid_OVERHEID,iemand de wet voorschrijven_IDIOM,3.647058824
boffen_BOFFEN,poten_BENEN,1.12
neus_GEZICHT,bekwaam_BEKWAAM,1.68
met de rug tegen de muur staan_IDIOM,verf_ZSTNW,1.323529412
zakdoek_ZAKDOEK,neus_GEZICHT,4.147058824
uitslag_HUID,iemand op de huid zitten_IDIOM,1.212121212
ijskast_KOELKAST_VRIEZER,koel_KOUD,4.157894737
voeten_VOETEN,iemand iets in de schoenen schuiven_IDIOM,1.5
ergens mee in de maag zitten_IDIOM,ingewanden_INGEWANDEN,1.382352941
kruk_BLESSURE / kruk_STOEL,poten_BENEN,4.176470588
benen_LEDMATEN,ledematen_LEDEMATEN,4.5
iets van tafel vegen_IDIOM,afwijzen_AFWIJZEN,4.424242424
tekening_KIND,lijn_GEOMETRIE,3.647058824
iets op poten zetten_IDIOM,boffen_BOFFEN,1.323529412
vuur_ZSTNW,vonk_VONK,4.5
op zijn achterste benen staan_IDIOM,verzetten_WEERSTAND,3.95
onzin_ONZIN,vuist_VUIST,2.12
hoorns_HOORNS,schaken_SPEL,1.28
onzeker_ONZEKER,ingewanden_INGEWANDEN,1.88
wolken_WOLKEN,staken_NIET_WERKEN,1.16
ergens zijn neus voor optrekken_IDIOM,zakdoek_ZAKDOEK,1.382352941
overheid_OVERHEID,wet_WET,4.382352941
de koe bij de hoorns vatten_IDIOM,aanpakken_ER_TEGEN_AAN_GAAN,4.558823529
eetkamer_EETKAMER,iets van tafel vegen_IDIOM,2.470588235
iemand aan de tand voelen_IDIOM,soort_RAS,1.529411765
iemand tegen de schenen schoppen_IDIOM,druppel_WATER_ZSTNW,1.181818182
voeten_VOETEN,verwijt_ZSTNW,1.12
wakker_NIET_SLAAP,bellen_WW_TELEFOON,2.12
bekwaam_BEKWAAM,ergens zijn neus voor optrekken_IDIOM,1.735294118
roer_STUUR,schip_ZEE,4.05
roer_STUUR,trouw_ZSTNW,1.44
iemand wakker schudden_IDIOM,bellen_WW_TELEFOON,1.882352941
goedheid_GOEDHEID,iemand de wet voorschrijven_IDIOM,1.617647059
bellen_WW_TELEFOON,iemand wakker schudden_IDIOM,1.882352941
vloeistof_VLOEISTOF,lijn_GEOMETRIE,1.6
bepalen_BEPALEN,overheid_OVERHEID,3.96
beheerst_RUSTIG_HOUDEN,het hoofd koel houden_IDIOM,4.529411765
aap_AAP,staart_DIER,4.176470588
tong_MOND,winkel_GEBOUW,1.2
aan een zijden draadje hangen_IDIOM,zaaien_ZAAIEN,1.147058824
speeksel_SPEEKSEL,op het puntje van de tong liggen_IDIOM,1.212121212
huid_HUID,uitslag_HUID,4.088235294
druppel_WATER_ZSTNW,iemand tegen de schenen schoppen_IDIOM,1.181818182
